,area,balconynum,balconysize,category,community,floor,gardennum,gardensize,id,listprice,name,onboarddate,roominfo,size,totalfloor,unitprice,totalfloornum,cname,builtyear,additionalfloor,hasservice,isinnerring,isoldcity,isfamousarea,garage,recognizedsize,isvilla,istopfloor,areaprice,communityprice,houseprice,bottomunitprice,bottomprice
0,留园西园,0,0.0,普通住宅,闻钟苑一区,高,0,0.0,107102664327,248.0,"闻钟苑，顶楼复式，五室多厅多卫，带大晒台,诚心出售_苏州姑苏留园西园闻钟苑一区二手房(苏州链家)",2020-06-12,5室3厅,99.9, (共5层),24825,5,,2000.0,0.0,1.0,1.0,0.0,0.0,0.0,99.0,0.0,1.0,20000,0.0,1000.0,21000.0,207.9
1,留园西园,4,70.8,别墅,玖园,低,1,23.1,107102633393,880.0,市区虎丘联排 园林风格别墅 两车库车位 有钥匙_苏州姑苏留园西园玖园二手房(苏州链家),2020-06-05,5室2厅,382.5, (共2层),23007,2,,2000.0,0.0,1.0,1.0,0.0,0.0,0.0,382.0,1.0,0.0,20000,0.0,11695.0,31695.0,1055.895941
2,胥江,1,22.87,普通住宅,解放新村,高,0,0.0,107102636586,205.0,胥江顶复，满五唯一，全明户型，视野开阔，诚意售卖_苏州姑苏胥江解放新村二手房(苏州链家),2020-06-06,4室2厅,86.5, (共6层),23700,6,,2000.0,0.0,1.0,1.0,0.0,0.0,0.0,86.0,0.0,1.0,20000,0.0,9085.696531791908,29085.69653179191,250.13699017341042
3,葑门,1,14.91,普通住宅,现代花园,高,0,0.0,107102637420,335.0,现代花园二期 精装复式 两层分开互不打扰 带独立车库_苏州姑苏葑门现代花园二手房(苏州链家),2020-06-06,7室3厅,161.0, (共5层),20808,5,,2000.0,0.0,1.0,1.0,0.0,0.0,0.0,161.0,0.0,0.0,20000,0.0,-254.5,19745.5,317.90255
5,平江新城,1,10.49,普通住宅,梅花新村,高,0,0.0,107102637767,235.0,急售梅花新村大五房 带自行车库 精装修拎包入住_苏州姑苏平江新城梅花新村二手房(苏州链家),2020-06-06,5室1厅,160.0, (共6层),14688,6,,2000.0,0.0,1.0,0.0,0.0,0.0,0.0,160.0,0.0,0.0,17000,0.0,-1475.5,15524.5,248.392
6,沧浪新城,2,17.85,普通住宅,友联一村,高,0,0.0,107102637778,220.0,明厨明卫，客厅带窗，两房朝南户型正气，装修干净整洁_苏州姑苏沧浪新城友联一村二手房(苏州链家),2020-06-06,4室2厅,105.0, (共6层),20953,6,,2000.0,0.0,1.0,0.0,0.0,0.0,0.0,105.0,0.0,0.0,17000,0.0,-1107.5,15892.5,166.87125
8,娄门,1,20.09,普通住宅,永林北区,高,0,0.0,107102640056,398.0,永林北区，5楼复式，双平江，带2汽车位，1电瓶车库_苏州姑苏娄门永林北区二手房(苏州链家),2020-06-07,5室3厅,200.0, (共5层),19900,5,,2000.0,0.0,1.0,1.0,1.0,0.0,0.0,200.0,0.0,0.0,21000,0.0,4.5,21004.5,420.09
10,金阊新城,0,0.0,普通住宅,宝邻苑,高,0,0.0,107102640477,193.0,宝邻苑 4室1厅 193万_苏州姑苏金阊新城宝邻苑二手房(苏州链家),2020-06-07,4室1厅,81.0, (共6层),23828,6,,2000.0,0.0,1.0,0.0,0.0,0.0,0.0,81.0,0.0,0.0,17000,0.0,-3000.0,14000.0,113.4
11,胥江,0,0.0,普通住宅,姑香苑,低,0,0.0,107102640609,295.0,姑香苑 4室2厅 295万_苏州姑苏胥江姑香苑二手房(苏州链家),2020-06-07,4室2厅,110.0, (共6层),26819,6,,2000.0,0.0,1.0,1.0,0.0,0.0,0.0,110.0,0.0,0.0,20000,0.0,500.0,20500.0,225.5
12,胥江,1,11.56,普通住宅,润达新村,高,0,0.0,107102644584,295.0,润达新村顶复 楼下115.17平楼上68平，带独立自行车库_苏州姑苏胥江润达新村二手房(苏州链家),2020-06-08,6室3厅,149.17, (共5层),19777,5,,2000.0,0.0,1.0,1.0,0.0,0.0,0.0,149.0,0.0,1.0,20000,0.0,9566.603606623317,29566.603606623317,440.5423937386874
13,胥江,1,14.1,普通住宅,新康花园,高,0,0.0,107102647828,335.0,新康花园 5室2厅 335万_苏州姑苏胥江新康花园二手房(苏州链家),2020-06-08,5室2厅,140.9, (共5层),23776,5,,2000.0,0.0,1.0,1.0,0.0,0.0,0.0,140.0,0.0,0.0,20000,0.0,-295.0,19705.0,275.87
18,南门,1,5.62,普通住宅,南园南路34号,高,0,0.0,107102651641,330.0,南园南路34号  顶带阁楼 有大露台 超高使用面积_苏州姑苏南门南园南路34号二手房(苏州链家),2020-06-09,4室3厅,94.81, (共6层),34807,6,,2000.0,0.0,0.0,1.0,1.0,0.0,0.0,94.0,0.0,1.0,21000,-2000.0,7699.837675350702,26699.837675350704,250.9784741482966
19,南门,1,10.8,普通住宅,盘门雅苑,高,0,0.0,107102651750,415.0,此房为全明格局，，前排无遮挡，采光充足。_苏州姑苏南门盘门雅苑二手房(苏州链家),2020-06-09,4室2厅,172.0, (共5层),24128,5,,2000.0,0.0,1.0,1.0,1.0,0.0,0.0,172.0,0.0,0.0,21000,0.0,-460.0,20540.0,353.288
23,南门,0,0.0,普通住宅,南环西路23号,高,0,0.0,107102657266,235.0,南环西路23号 4室2厅 235万_苏州姑苏南门南环西路23号二手房(苏州链家),2020-06-11,4室2厅,159.3, (共5层),14753,5,,2000.0,0.0,0.0,1.0,1.0,0.0,0.0,159.0,0.0,0.0,21000,-2000.0,-2000.0,17000.0,270.3
24,平江新城,0,0.0,普通住宅,华恒家园,高,0,0.0,107102657384,358.0,华恒家园 5室3厅 358万_苏州姑苏平江新城华恒家园二手房(苏州链家),2020-06-11,5室3厅,193.04, (共5层),18546,5,,2000.0,0.0,1.0,0.0,0.0,0.0,0.0,193.0,0.0,0.0,17000,0.0,-2000.0,15000.0,289.5
26,留园西园,0,0.0,普通住宅,御庭苑,高,0,0.0,107102662116,330.0,御庭苑 4室2厅 330万_苏州姑苏留园西园御庭苑二手房(苏州链家),2020-06-12,4室2厅,153.0, (共5层),21569,5,,2000.0,0.0,1.0,1.0,0.0,0.0,0.0,153.0,0.0,0.0,20000,0.0,-2000.0,18000.0,275.4
27,留园西园,0,0.0,普通住宅,倪家苑,高,0,0.0,107102662135,310.0,倪家苑 5室3厅 310万_苏州姑苏留园西园倪家苑二手房(苏州链家),2020-06-12,5室3厅,133.0, (共6层),23309,6,,2000.0,0.0,1.0,1.0,0.0,0.0,0.0,133.0,0.0,0.0,20000,0.0,-3000.0,17000.0,226.1
28,留园西园,0,0.0,普通住宅,长盛花园,高,0,0.0,107102662140,330.0,长盛花园 5室2厅 330万_苏州姑苏留园西园长盛花园二手房(苏州链家),2020-06-12,5室2厅,156.0, (共4层),21154,4,,2000.0,0.0,1.0,1.0,0.0,0.0,0.0,156.0,0.0,0.0,20000,0.0,-1000.0,19000.0,296.4
30,金门,0,0.0,普通住宅,三香弄八号小区,高,0,0.0,107102633029,316.0,房东诚心出售三香弄八号小区四楼复式_苏州姑苏金门三香弄八号小区二手房(苏州链家),2020-06-05,4室2厅,128.0, (共4层),24688,4,,2000.0,0.0,0.0,1.0,0.0,0.0,0.0,128.0,0.0,0.0,20000,-2000.0,-1000.0,17000.0,217.6
32,平江新城,1,21.36,普通住宅,汇翠花园,高,0,0.0,107102598279,362.0,汇翠花园 楼下大三室  南北露台 草桥 平江_苏州姑苏平江新城汇翠花园二手房(苏州链家),2020-05-29,4室3厅,175.82, (共6层),20590,6,,2000.0,0.0,1.0,0.0,0.0,0.0,0.0,175.0,0.0,0.0,17000,0.0,-932.0,16068.0,281.19
33,胥江,0,0.0,普通住宅,广大家园,高,0,0.0,107102602016,205.0,广大家园 4室1厅 205万_苏州姑苏胥江广大家园二手房(苏州链家),2020-05-30,4室1厅,105.0, (共5层),19524,5,,2000.0,0.0,1.0,1.0,0.0,0.0,0.0,105.0,0.0,0.0,20000,0.0,-2000.0,18000.0,189.0
34,胥江,0,0.0,普通住宅,胥虹苑,高,0,0.0,107102602644,310.0,胥虹苑顶楼复式精装修业主自住保养好5房3厅3卫带独库_苏州姑苏胥江胥虹苑二手房(苏州链家),2020-05-30,5室3厅,114.71, (共6层),27025,6,,2000.0,0.0,1.0,1.0,0.0,0.0,0.0,114.0,0.0,1.0,20000,0.0,0.0,20000.0,228.0
35,金门,0,0.0,普通住宅,馨泓花园B区,低,0,0.0,107102603986,415.0,馨泓花园 一二楼复式  带汽车库 采光无遮挡_苏州姑苏金门馨泓花园B区二手房(苏州链家),2020-05-30,4室2厅,162.0, (共5层),25618,5,,2000.0,0.0,1.0,1.0,0.0,0.0,0.0,162.0,0.0,0.0,20000,0.0,500.0,20500.0,332.1
36,南门,1,11.2,普通住宅,盘门雅苑,高,0,0.0,107102604159,373.0,2007年商品房；产证面积173全体现；价格包含汽车库_苏州姑苏南门盘门雅苑二手房(苏州链家),2020-05-30,4室2厅,173.3, (共5层),21524,5,,2000.0,0.0,1.0,1.0,1.0,0.0,0.0,173.0,0.0,0.0,21000,0.0,-440.0,20560.0,355.688
37,金门,2,45.47,普通住宅,干将名邸,高,0,0.0,107102604945,365.0,姑苏市政府北 干将名邸 自住精装，空中别墅。_苏州姑苏金门干将名邸二手房(苏州链家),2020-05-30,4室3厅,162.0, (共5层),22531,5,,2000.0,0.0,1.0,1.0,0.0,0.0,0.0,162.0,0.0,0.0,20000,0.0,1273.5,21273.5,344.6307
38,南门,2,25.08,普通住宅,西二路散盘,高,0,0.0,107102606469,260.0,总价低，地段好，交通方便 小区环境好，配套完善_苏州姑苏南门西二路散盘二手房(苏州链家),2020-05-31,4室2厅,131.25, (共4层),19810,4,,2000.0,0.0,0.0,1.0,1.0,0.0,0.0,131.0,0.0,0.0,21000,-2000.0,1254.0,20254.0,265.3274
40,沧浪新城,2,24.28,普通住宅,友联一村,高,0,0.0,107102597826,230.0,精装复式，五房两厅两卫，有独立自行车库，有汽车位！_苏州姑苏沧浪新城友联一村二手房(苏州链家),2020-05-29,5室2厅,147.0, (共5层),15647,5,,2000.0,0.0,1.0,0.0,0.0,0.0,0.0,147.0,0.0,0.0,17000,0.0,214.0,17214.0,253.0458
41,苏州大学,3,27.37,普通住宅,相门后庄12号,高,0,0.0,107102607162,280.0,四房 楼上楼下层高都一样 共3个大露台 看房有钥匙_苏州姑苏苏州大学相门后庄12号二手房(苏州链家),2020-05-31,4室2厅,134.0, (共6层),20896,6,,2000.0,0.0,0.0,1.0,0.0,0.0,0.0,134.0,0.0,0.0,20000,-2000.0,-631.5,17368.5,232.7379
42,胥江,3,34.8,普通住宅,桐馨苑,高,0,0.0,107102607447,220.0,二号线地铁口，大四房自住精装看房方便！_苏州姑苏胥江桐馨苑二手房(苏州链家),2020-05-31,4室2厅,157.0, (共6层),14013,6,,2000.0,0.0,1.0,1.0,0.0,0.0,0.0,157.0,0.0,0.0,20000,0.0,-260.0,19740.0,309.918
