area,balconynum,balconysize,category,community,floor,gardennum,gardensize,id,listprice,name,onboarddate,roominfo,size,totalfloor,unitprice
留园西园,0,0,普通住宅,闻钟苑一区,高,0,0,107102664327,248,"闻钟苑，顶楼复式，五室多厅多卫，带大晒台,诚心出售_苏州姑苏留园西园闻钟苑一区二手房(苏州链家)",2020-06-12,5室3厅,99.9, (共5层),24825
留园西园,4,70.8,别墅,玖园,低,1,23.1,107102633393,880,市区虎丘联排 园林风格别墅 两车库车位 有钥匙_苏州姑苏留园西园玖园二手房(苏州链家),2020-06-05,5室2厅,382.5, (共2层),23007
胥江,1,22.87,普通住宅,解放新村,高,0,0,107102636586,205,胥江顶复，满五唯一，全明户型，视野开阔，诚意售卖_苏州姑苏胥江解放新村二手房(苏州链家),2020-06-06,4室2厅,86.5, (共6层),23700
葑门,1,14.91,普通住宅,现代花园,高,0,0,107102637420,335,现代花园二期 精装复式 两层分开互不打扰 带独立车库_苏州姑苏葑门现代花园二手房(苏州链家),2020-06-06,7室3厅,161, (共5层),20808
胥江,1,19.84,普通住宅,劳动路110号,高,0,0,107102636701,390,复式可做两套，两进门可分开， 5房3厅2卫2厨带阳光房_苏州姑苏胥江劳动路110号二手房(苏州链家),2020-06-06,5室3厅,133, (共5层),29324
平江新城,1,10.49,普通住宅,梅花新村,高,0,0,107102637767,235,急售梅花新村大五房 带自行车库 精装修拎包入住_苏州姑苏平江新城梅花新村二手房(苏州链家),2020-06-06,5室1厅,160, (共6层),14688
沧浪新城,2,17.85,普通住宅,友联一村,高,0,0,107102637778,220,明厨明卫，客厅带窗，两房朝南户型正气，装修干净整洁_苏州姑苏沧浪新城友联一村二手房(苏州链家),2020-06-06,4室2厅,105, (共6层),20953
胥江,0,0,普通住宅,彩虹新村,高,0,0,107102638258,293,彩虹苑一梯一户，带两个自行车库，5楼复式，房龄新_苏州姑苏胥江彩虹新村二手房(苏州链家),2020-06-06,4室2厅,101, (共5层),29010
娄门,1,20.09,普通住宅,永林北区,高,0,0,107102640056,398,永林北区，5楼复式，双平江，带2汽车位，1电瓶车库_苏州姑苏娄门永林北区二手房(苏州链家),2020-06-07,5室3厅,200, (共5层),19900
苏州大学,2,34.84,普通住宅,新湘苑,高,0,0,107102640203,510,此房房东自住，采光充足  看房方便_苏州姑苏苏州大学新湘苑二手房(苏州链家),2020-06-07,5室3厅,177, (共6层),28814
