,area,balconynum,balconysize,category,community,floor,gardennum,gardensize,id,listprice,name,onboarddate,roominfo,size,totalfloor,unitprice,totalfloornum,cname,builtyear,additionalfloor,hasservice,isinnerring,isoldcity,isfamousarea,garage,recognizedsize,isvilla,istopfloor,areaprice,communityprice,houseprice,bottomunitprice,bottomprice
0,金阊新城,0,0.0,普通住宅,宝邻苑,高,0,0.0,107102724909,245.0,宝邻苑 4室2厅 245万_苏州姑苏金阊新城宝邻苑二手房(苏州链家),2020-06-26,4室2厅,88.0, (共6层),27841,6,,2000.0,0.0,1.0,0.0,0.0,0.0,0.0,88.0,0.0,0.0,17000,-500.0,-3000.0,13500.0,118.8
1,留园西园,0,0.0,普通住宅,中天品苑西区,高,0,0.0,107102679893,360.0,中天品苑，好地段，好户型、好房子、好价格；_苏州姑苏留园西园中天品苑西区二手房(苏州链家),2020-06-15,4室2厅,123.9, (共5层),29056,5,,2000.0,0.0,1.0,1.0,0.0,0.0,0.0,123.0,0.0,0.0,20000,-500.0,-2000.0,17500.0,215.25
2,苏州大学,1,15.21,普通住宅,东环路1165号,高,0,0.0,107102679986,480.0,东环1号6号线商品房 带城平江 大复式带晒台 带大独库_苏州姑苏苏州大学东环路1165号二手房(苏州链家),2020-06-15,4室3厅,192.23, (共4层),24971,4,,2000.0,0.0,0.0,1.0,0.0,0.0,0.0,192.0,0.0,0.0,20000,-2500.0,760.5,18260.5,350.6016
3,胥江,0,0.0,普通住宅,公园天下,高,0,0.0,107102680178,580.0,精装顶复 满五唯一，位置好  装修保养好_苏州姑苏胥江公园天下二手房(苏州链家),2020-06-15,4室2厅,285.0, (共5层),20351,5,,2000.0,0.0,1.0,1.0,0.0,0.0,0.0,285.0,0.0,1.0,20000,-500.0,-50.0,19450.0,532.3336875
4,胥江,2,31.85,普通住宅,姑香苑,高,0,0.0,107102680886,275.0,姑香苑新上顶复，附带两个露台，保养很不错，看房方便_苏州姑苏胥江姑香苑二手房(苏州链家),2020-06-16,4室2厅,79.53, (共6层),34579,6,,2000.0,0.0,1.0,1.0,0.0,0.0,0.0,79.0,0.0,1.0,20000,-500.0,-342.5245190494152,19157.475480950583,151.3440562995096
5,金门,3,39.85,普通住宅,三香弄八号小区,高,0,0.0,107102680894,238.0,三香弄八号小区 4室2厅 238万_苏州姑苏金门三香弄八号小区二手房(苏州链家),2020-06-16,4室2厅,135.0, (共6层),17630,6,,2000.0,0.0,0.0,1.0,0.0,0.0,0.0,135.0,0.0,0.0,20000,-2500.0,-7.5,17492.5,236.14875
6,平江新城,0,0.0,普通住宅,梅花三村,高,0,0.0,107102685082,205.0,梅花三村 顶楼复式 4房 不满2年_苏州姑苏平江新城梅花三村二手房(苏州链家),2020-06-17,4室2厅,98.86, (共5层),20737,5,,2000.0,0.0,1.0,0.0,0.0,0.0,0.0,98.0,0.0,1.0,17000,-500.0,-1928.2318430103176,14571.768156989683,142.8033279384989
7,留园西园,0,0.0,别墅,姑苏院子,低,0,0.0,107102685236,768.0,下叠别墅，前后两个院子，位置好，看房方便_苏州姑苏留园西园姑苏院子二手房(苏州链家),2020-06-17,7室5厅,256.0, (共6层),30000,6,,2000.0,0.0,1.0,1.0,0.0,0.0,0.0,256.0,1.0,0.0,20000,-500.0,5000.0,24500.0,598.1184
8,葑门,0,0.0,普通住宅,现代花园,高,0,0.0,107102687375,270.0,品牌婚装，全明通透户型，大空间复式，房东诚心卖。_苏州姑苏葑门现代花园二手房(苏州链家),2020-06-17,4室2厅,111.0, (共5层),24325,5,,2000.0,0.0,1.0,1.0,0.0,0.0,0.0,111.0,0.0,0.0,20000,-500.0,-2000.0,17500.0,194.25
9,苏州大学,0,0.0,普通住宅,东环路1165号,高,0,0.0,107102689437,420.0,满五年不唯一，有随时看房，也可上门直接看。_苏州姑苏苏州大学东环路1165号二手房(苏州链家),2020-06-18,5室2厅,193.0, (共5层),21762,5,,2000.0,0.0,0.0,1.0,0.0,0.0,0.0,193.0,0.0,0.0,20000,-2500.0,-2000.0,15500.0,299.15
