,area,balconynum,balconysize,category,community,floor,gardennum,gardensize,id,listprice,name,onboarddate,roominfo,size,totalfloor,unitprice,totalfloornum,cname,builtyear,additionalfloor,hasservice,isinnerring,isoldcity,isfamousarea,pschool,mschool,garage,recognizedsize,isvilla,istopfloor,areaprice,communityprice,houseprice,bottomunitprice,bottomprice
0,留园西园,0,0.0,别墅,玖园,低,0,0.0,107102874988,948.0,玖园 6室3厅 948万_苏州姑苏留园西园玖园二手房(苏州链家),2020-07-31,6室3厅,378.3, (共2层),25060,2,,2000.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,378.0,1.0,0.0,20000,-1000.0,5000.0,24000.0,811.3392
1,沧浪新城,2,15.61,普通住宅,友联二村,高,0,0.0,107102835598,378.0,友联二村 4室3厅 378万_苏州姑苏沧浪新城友联二村二手房(苏州链家),2020-07-22,4室3厅,165.78, (共5层),22802,5,,2000.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,165.0,0.0,0.0,17000,-1000.0,780.5,16780.5,276.87825
2,葑门,1,10.99,普通住宅,葑门路散盘,高,0,0.0,107102835800,480.0,葑门路散盘 4室2厅 480万_苏州姑苏葑门葑门路散盘二手房(苏州链家),2020-07-22,4室2厅,146.0, (共6层),32877,6,,2000.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,146.0,0.0,0.0,20000,-3000.0,-450.5,16549.5,241.6227
3,南门,0,0.0,普通住宅,水城丽都,高,0,0.0,107102837332,600.0,团结桥地铁口，水城丽都，顶复毛坯，房东诚售_苏州姑苏南门水城丽都二手房(苏州链家),2020-07-22,5室2厅,200.0, (共5层),30000,5,,2000.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,200.0,0.0,1.0,21000,-1000.0,1000.0,21000.0,420.0
4,金阊新城,1,23.09,普通住宅,南山金城1958,低,2,59.54,107102837712,450.0,南山金城1958精装4房2厅1厨2房东诚心出售。_苏州姑苏金阊新城南山金城1958二手房(苏州链家),2020-07-22,4室2厅,145.0, (共6层),31035,6,,2000.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,145.0,0.0,0.0,17000,-1000.0,6631.5,22631.5,328.15675
5,金门,2,18.78,普通住宅,采香花园,高,0,0.0,107102838641,328.0,地铁口 满五年 精装复式房 上下六开间朝南 采光无遮挡_苏州姑苏金门采香花园二手房(苏州链家),2020-07-22,6室3厅,193.0, (共6层),16995,6,,2000.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,193.0,0.0,0.0,20000,-1000.0,-61.0,18939.0,365.5227
6,娄门,1,12.04,普通住宅,永林二区,高,0,0.0,107102838769,270.0,永林二村 护城河畔 精装修 空中阁楼 全天采光_苏州姑苏娄门永林二区二手房(苏州链家),2020-07-22,4室1厅,121.4, (共5层),22241,5,,2000.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,121.0,0.0,1.0,21000,-1000.0,634.9489291598028,20634.948929159804,249.6828820428336
7,胥江,1,17.77,普通住宅,三香花园,高,0,0.0,107102840794,378.0,近地铁 三香花园精装四楼复式 露台朝南 业主诚心出售_苏州姑苏胥江三香花园二手房(苏州链家),2020-07-23,5室2厅,166.0, (共4层),22772,4,,2000.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,166.0,0.0,0.0,20000,-1000.0,1888.5,20888.5,346.7491
8,石路,2,31.26,普通住宅,凯旋花园,高,0,0.0,107102846415,309.0,石路旁边 凯旋花园复式 楼上附加面积超过100平米_苏州姑苏石路凯旋花园二手房(苏州链家),2020-07-24,7室3厅,139.86, (共6层),22094,6,,2000.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,139.0,0.0,0.0,20000,-1000.0,563.0000000000002,19563.0,271.9257
9,胥江,3,35.17,普通住宅,解放新村,高,0,0.0,107102846506,329.0,解放新村2000年房龄 南北大露台 带独库10平方_苏州姑苏胥江解放新村二手房(苏州链家),2020-07-24,4室2厅,150.0, (共6层),21934,6,,2000.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,150.0,0.0,0.0,20000,-1000.0,758.5000000000002,19758.5,296.3775
10,南门,0,0.0,别墅,佳安别院,低,0,0.0,107102846918,1650.0,佳安别院 7室3厅 1650万_苏州姑苏南门佳安别院二手房(苏州链家),2020-07-24,7室3厅,293.11, (共3层),56293,3,,2000.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,293.0,1.0,0.0,21000,-1000.0,5000.0,25000.0,683.78875
11,胥江,0,0.0,普通住宅,梅亭苑,高,0,0.0,107102848978,290.0,顶楼复式带阁楼带车库精装修高品质全明户型的优秀房源_苏州姑苏胥江梅亭苑二手房(苏州链家),2020-07-25,4室3厅,130.5, (共5层),22223,5,,2000.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,130.0,0.0,1.0,20000,-1000.0,-963.6015325670498,18036.39846743295,234.47318007662835
12,留园西园,1,11.46,普通住宅,新庄二村,高,0,0.0,107102849617,195.0,诚心出售，全新精装修，房东急售有钥匙_苏州姑苏留园西园新庄二村二手房(苏州链家),2020-07-25,4室3厅,73.41, (共5层),26564,5,,2000.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,73.0,0.0,0.0,20000,-1000.0,573.0000000000001,19573.0,142.8829
13,胥江,2,22.03,普通住宅,金桥新村,高,0,0.0,107102853168,215.0,请留步，此房满五，视野开阔，采光充足，带阳光房。_苏州姑苏胥江金桥新村二手房(苏州链家),2020-07-26,4室1厅,140.0, (共6层),15358,6,,2000.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,140.0,0.0,0.0,20000,-1000.0,101.50000000000023,19101.5,267.421
14,胥江,0,0.0,普通住宅,中海胥江府,低,0,0.0,107102854931,1100.0,胥江府在卖唯一联排 全新毛坯 前中后大花园_苏州姑苏胥江中海胥江府二手房(苏州链家),2020-07-26,4室2厅,379.39, (共2层),28994,2,,2000.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,379.0,1.0,0.0,20000,-1000.0,5000.0,24000.0,813.0308
